ImageId,Label
1,2
2,2
3,3
4,4
5,2
6,2
7,6
8,3
9,5
10,3
11,3
12,7
13,1
14,0
15,4
16,3
17,3
18,4
19,9
20,5
21,8
22,4
23,1
24,5
25,7
26,1
27,2
28,2
29,7
30,3
31,2
32,9
33,6
34,2
35,4
36,2
37,5
38,9
39,3
40,8
41,2
42,7
43,4
44,6
45,6
46,7
47,3
48,3
49,1
50,5
51,4
52,5
53,8
54,3
55,8
56,2
57,1
58,2
59,4
60,9
61,1
62,1
63,7
64,1
65,0
66,6
67,4
68,4
69,5
70,1
71,6
72,5
73,3
74,3
75,2
76,6
77,3
78,2
79,2
80,7
81,5
82,6
83,4
84,6
85,6
86,2
87,6
88,7
89,1
90,7
91,2
92,0
93,8
94,6
95,1
96,4
97,3
98,8
99,7
100,9
101,3
102,3
103,2
104,2
105,4
106,3
107,0
108,5
109,5
110,6
111,0
112,5
113,6
114,1
115,4
116,2
117,1
118,1
119,3
120,8
121,7
122,2
123,2
124,8
125,6
126,3
127,3
128,7
129,4
130,7
131,2
132,5
133,6
134,7
135,6
136,0
137,3
138,4
139,9
140,9
141,7
142,3
143,4
144,5
145,9
146,8
147,7
148,7
149,2
150,8
151,4
152,2
153,9
154,6
155,6
156,7
157,7
158,2
159,7
160,6
161,2
162,6
163,4
164,5
165,4
166,3
167,7
168,6
169,7
170,5
171,2
172,7
173,8
174,4
175,4
176,2
177,7
178,6
179,4
180,2
181,6
182,3
183,5
184,2
185,4
186,8
187,2
188,4
189,6
190,7
191,4
192,1
193,4
194,6
195,4
196,5
197,8
198,7
199,6
200,9
201,4
202,9
203,3
204,9
205,2
206,6
207,5
208,6
209,6
210,4
211,6
212,8
213,3
214,6
215,3
216,2
217,4
218,8
219,3
220,1
221,2
222,3
223,4
224,6
225,2
226,8
227,9
228,4
229,4
230,6
231,0
232,6
233,8
234,1
235,2
236,2
237,2
238,3
239,3
240,6
241,5
242,8
243,2
244,5
245,5
246,5
247,6
248,6
249,3
250,1
251,8
252,7
253,4
254,3
255,6
256,6
257,6
258,4
259,1
260,3
261,4
262,3
263,3
264,5
265,7
266,6
267,6
